NAME,CIRC,VIST,HSPOT,CHBOOK,HHELP,IP_HHELP,OL_HELP,WL_HHELP,CITCORNER,CYBNAV,OL_CYBNAV,WL_CYBNAV,STROOMS,N_STROOMS,MTROOMS,UMEDIA,NE_MATER,LANG1,LANG2,LANG3,COMP,COMPSES,MHSS
Albany Park ,64486,79075,0,0,1,1,0,,1,0,,,1,2,1,1,1,Korean ,Spanish,,1,13089,1
Altgeld ,2641,38946,0,0,1,1,0,,0,0,,,1,3,1,1,0,,,,1,11282,0
Archer Heights ,27343,41847,0,0,1,1,1,Spanish,0,0,,,0,0,1,0,1,Polish,Spanish,,1,8782,0
Austin ,7589,41194,1,1,1,0,0,,0,0,,,0,0,1,1,0,,,,1,10235,0
Austin-Irving,63482,55987,0,0,1,1,0,,0,0,,,0,0,1,0,1,Polish,Spanish,,1,7353,0
Avalon ,15567,47736,0,0,1,0,0,,0,0,,,0,0,1,0,0,,,,1,15937,0
Back of the Yards ,12242,31258,0,0,1,1,1,Spanish,1,1,1,Spanish,0,0,1,1,1,Spanish,,,1,5557,0
Beverly ,26961,22233,0,0,1,0,0,,0,0,,,1,0,1,0,0,,,,1,6571,1
Bezazian ,76814,55207,0,0,1,0,0,,1,0,,,0,0,1,0,1,Chinese,Russian,,1,15409,1
Blackstone ,81017,76626,0,0,1,0,0,,0,0,,,0,0,1,0,0,,,,1,11773,1
Brainerd ,3899,12342,0,0,1,0,0,,0,0,,,0,0,1,0,0,,,,1,5652,0
Brighton Park ,17940,32956,1,1,1,0,0,,0,0,,,0,0,1,0,1,Spanish,,,1,6159,0
Bucktown-Wicker Park,98867,86093,0,0,1,1,0,,0,0,,,0,0,1,0,1,Spanish,,,1,9255,0
Budlong Woods ,72049,79981,0,0,1,1,1,Russian,0,0,,,0,0,1,0,1,Korean ,,,1,10037,1
Canaryville ,8998,10960,1,1,1,0,0,,0,0,,,0,0,0,0,0,,,,1,2169,0
Chicago Bee ,9095,11562,0,0,1,0,0,,0,0,,,1,2,1,1,0,,,,1,7447,0
Chicago Lawn ,16433,47077,1,0,1,1,0,,0,0,,,0,0,1,1,1,Spanish,,,1,11345,0
Chinatown ,58539,144767,0,0,1,1,1,Mandarin & Cantonese ,1,0,,,1,2,1,1,1,Chinese,,,1,16629,1
Clearing ,21980,15574,0,0,1,0,0,,0,0,,,0,0,1,0,1,Polish,,,1,6125,0
Coleman ,11059,42328,0,0,1,1,0,,0,0,,,0,0,1,0,0,,,,1,15045,0
"Daley, Richard J.",25307,17966,0,0,1,0,0,,0,0,,,1,2,0,0,0,,,,1,5411,0
"Daley, Richard M.",14820,50313,1,1,1,0,0,,0,1,,,0,0,1,1,0,,,,1,11458,0
Douglass ,4250,25970,1,1,0,0,0,,0,0,,,1,1,1,1,0,,,,1,9125,1
Dunning ,40511,72104,1,0,1,1,0,,0,0,,,0,0,1,0,1,Spanish,Polish,,1,8367,0
Edgebrook ,79259,66216,0,0,1,0,0,,0,0,,,0,0,1,0,0,,,,1,4898,0
Edgewater ,124239,97850,0,0,1,0,0,,0,1,,,1,2,1,1,1,Spanish,,,1,23702,1
Gage Park ,7493,17033,0,0,1,0,0,,0,0,,,0,0,0,0,1,Spanish,,,1,2685,0
Garfield Ridge ,36368,50209,0,0,1,0,0,,0,0,,,0,0,1,0,1,Polish,Spanish,,1,6256,0
Greater Grand Crossing ,6186,20670,1,1,1,1,0,,0,1,,,0,0,1,0,0,,,,1,9003,0
Hall ,7510,31154,0,0,1,0,0,,0,0,,,0,0,1,1,0,,,,1,8210,0
Harold Washington Library Center ,273406,686752,0,0,1,1,0,,0,1,,,1,10,0,1,0,,,,1,111730,1
Hegewisch ,9734,14909,0,0,1,0,0,,0,0,,,0,0,1,0,0,,,,1,3430,0
Humboldt Park ,41675,48223,0,0,1,0,0,,0,0,,,0,0,1,1,1,Spanish,,,1,9779,1
Independence ,73846,40641,0,0,1,1,1,Spanish,0,0,,,1,1,1,1,1,Spanish,,,1,8430,0
Jefferson Park ,59621,46168,0,0,1,0,0,,0,0,,,1,1,1,1,1,Polish,,,1,11848,0
Jeffery Manor ,5335,17787,1,0,1,1,0,,0,0,,,0,0,1,0,0,,,,1,7895,0
Kelly ,5141,28926,0,0,1,0,0,,0,0,,,0,0,1,1,0,,,,1,6964,0
King ,11940,18064,1,0,1,0,0,,0,1,,,0,0,1,1,0,,,,1,12658,0
Legler Regional ,6453,35007,1,1,1,0,0,,0,0,,,1,2,1,1,0,,,,1,13927,0
Lincoln Belmont ,104173,57243,0,0,1,0,0,,0,0,,,1,1,1,0,0,,,,1,6271,0
Lincoln Park ,142413,118118,0,0,1,0,0,,0,0,,,1,1,1,0,0,,,,1,10615,1
Little Italy ,45000,86951,0,0,1,1,0,,0,0,,,1,3,1,1,1,Chinese,,,1,9574,0
Little Village ,17465,21964,0,0,1,0,0,,1,1,,,0,0,1,0,1,Spanish,,,1,9946,0
Logan Square ,116319,116554,0,0,1,0,0,,0,0,,,0,0,1,0,1,Spanish,,,1,15279,0
Lozano ,25002,45329,0,0,1,1,1,Spanish ,1,0,,,0,0,1,1,1,Spanish,,,1,13338,0
Manning ,11869,39310,0,0,0,0,0,,0,0,,,0,0,1,0,0,,,,1,8783,1
Mayfair ,30562,18821,0,0,1,1,1,Spanish ,0,0,,,0,0,1,0,1,Spanish,,,1,4067,0
McKinley Park ,37881,51896,0,0,1,1,0,,1,0,,,0,0,1,0,1,Chinese ,Spanish,,1,6660,0
Merlo ,106736,110146,0,0,1,0,0,,0,0,,,1,2,1,1,0,,,,1,13742,0
Mount Greenwood ,46056,24079,0,0,1,0,0,,0,0,,,1,2,1,0,0,,,,1,6532,1
Near North ,46760,61030,0,0,1,0,0,,0,0,,,1,1,1,0,0,,,,1,8507,0
North Austin ,6732,19986,0,0,1,1,0,,0,1,,,0,0,1,0,0,,,,1,7380,0
North Pulaski ,12675,28344,1,1,1,1,0,,0,0,,,0,0,1,0,1,Spanish,,,1,6375,0
Northtown ,101188,84479,0,0,1,1,0,,1,0,,,1,2,1,1,1,Russian,Spanish,,1,18967,1
